Date,"Pandas (software)"
2016-06-19,104
2016-06-20,222
2016-06-21,222
2016-06-22,219
2016-06-23,211
2016-06-24,165
2016-06-25,89
2016-06-26,103
2016-06-27,192
2016-06-28,214
2016-06-29,205
2016-06-30,214
2016-07-01,176
2016-07-02,95
2016-07-03,118
2016-07-04,163
2016-07-05,205
2016-07-06,200
2016-07-07,211
2016-07-08,221
2016-07-09,103
2016-07-10,101
2016-07-11,221
2016-07-12,260
2016-07-13,220
2016-07-14,196
2016-07-15,189
2016-07-16,94
2016-07-17,120
2016-07-18,189
2016-07-19,242
2016-07-20,237
2016-07-21,206
2016-07-22,144
2016-07-23,98
2016-07-24,93
2016-07-25,208
2016-07-26,182
2016-07-27,205
2016-07-28,180
2016-07-29,183
2016-07-30,102
2016-07-31,116
2016-08-01,172
2016-08-02,212
2016-08-03,203
2016-08-04,156
2016-08-05,150
2016-08-06,93
2016-08-07,116
2016-08-08,183
2016-08-09,171
2016-08-10,172
2016-08-11,172
2016-08-12,149
2016-08-13,113
2016-08-14,115
2016-08-15,162
2016-08-16,187
2016-08-17,179
2016-08-18,165
2016-08-19,147
2016-08-20,73
2016-08-21,130
2016-08-22,231
2016-08-23,209
2016-08-24,228
2016-08-25,168
2016-08-26,209
2016-08-27,101
2016-08-28,123
2016-08-29,250
2016-08-30,169
2016-08-31,160
2016-09-01,169
2016-09-02,154
2016-09-03,87
2016-09-04,107
2016-09-05,133
2016-09-06,196
2016-09-07,210
2016-09-08,209
2016-09-09,169
2016-09-10,101
2016-09-11,108
2016-09-12,190
2016-09-13,221
2016-09-14,166
2016-09-15,188
2016-09-16,161
2016-09-17,97
2016-09-18,118
2016-09-19,197
2016-09-20,193
2016-09-21,215
2016-09-22,182
2016-09-23,172
2016-09-24,99
2016-09-25,108
2016-09-26,220
2016-09-27,234
2016-09-28,229
2016-09-29,222
2016-09-30,182
2016-10-01,124
2016-10-02,114
2016-10-03,190
2016-10-04,218
2016-10-05,213
2016-10-06,230
2016-10-07,213
2016-10-08,114
2016-10-09,111
2016-10-10,180
2016-10-11,228
2016-10-12,195
2016-10-13,202
2016-10-14,180
2016-10-15,111
2016-10-16,119
2016-10-17,195
2016-10-18,225
2016-10-19,235
2016-10-20,192
2016-10-21,185
2016-10-22,115
2016-10-23,116
2016-10-24,205
2016-10-25,202
2016-10-26,212
2016-10-27,217
2016-10-28,176
2016-10-29,99
2016-10-30,126
2016-10-31,198
2016-11-01,208
2016-11-02,217
2016-11-03,205
2016-11-04,196
2016-11-05,125
2016-11-06,135
2016-11-07,218
2016-11-08,200
2016-11-09,164
2016-11-10,234
2016-11-11,157
2016-11-12,124
2016-11-13,113
2016-11-14,230
2016-11-15,219
2016-11-16,215
2016-11-17,238
2016-11-18,242
2016-11-19,117
2016-11-20,119
2016-11-21,204
2016-11-22,212
2016-11-23,189
2016-11-24,177
2016-11-25,175
2016-11-26,109
2016-11-27,122
2016-11-28,242
2016-11-29,218
2016-11-30,226
2016-12-01,259
2016-12-02,214
2016-12-03,111
2016-12-04,132
2016-12-05,184
2016-12-06,236
2016-12-07,199
2016-12-08,201
2016-12-09,187
2016-12-10,112
2016-12-11,138
2016-12-12,226
2016-12-13,182
2016-12-14,193
2016-12-15,210
2016-12-16,176
2016-12-17,113
2016-12-18,138
2016-12-19,195
2016-12-20,194
2016-12-21,208
2016-12-22,185
2016-12-23,177
2016-12-24,105
2016-12-25,92
2016-12-26,112
2016-12-27,173
2016-12-28,181
2016-12-29,164
2016-12-30,188
2016-12-31,109
2017-01-01,114
2017-01-02,152
2017-01-03,223
2017-01-04,224
2017-01-05,190
2017-01-06,169
2017-01-07,142
2017-01-08,127
2017-01-09,230
2017-01-10,268
2017-01-11,246
2017-01-12,276
2017-01-13,224
2017-01-14,152
2017-01-15,153
2017-01-16,302
2017-01-17,360
2017-01-18,328
2017-01-19,224
2017-01-20,229
2017-01-21,133
2017-01-22,145
2017-01-23,241
2017-01-24,289
2017-01-25,313
2017-01-26,234
2017-01-27,237
2017-01-28,123
2017-01-29,167
2017-01-30,254
2017-01-31,294
2017-02-01,266
2017-02-02,257
2017-02-03,257
2017-02-04,137
2017-02-05,159
2017-02-06,268
2017-02-07,276
2017-02-08,292
2017-02-09,295
2017-02-10,301
2017-02-11,150
2017-02-12,150
2017-02-13,285
2017-02-14,239
2017-02-15,285
2017-02-16,286
2017-02-17,255
2017-02-18,149
2017-02-19,151
2017-02-20,254
2017-02-21,322
2017-02-22,295
2017-02-23,316
2017-02-24,273
2017-02-25,149
2017-02-26,169
2017-02-27,270
2017-02-28,278
2017-03-01,320
2017-03-02,333
2017-03-03,259
2017-03-04,155
2017-03-05,164
2017-03-06,299
2017-03-07,294
2017-03-08,309
2017-03-09,312
2017-03-10,252
2017-03-11,196
2017-03-12,182
2017-03-13,277
2017-03-14,282
2017-03-15,335
2017-03-16,277
2017-03-17,233
2017-03-18,193
2017-03-19,188
2017-03-20,306
2017-03-21,246
2017-03-22,254
2017-03-23,287
2017-03-24,258
2017-03-25,174
2017-03-26,201
2017-03-27,321
2017-03-28,273
2017-03-29,283
2017-03-30,271
2017-03-31,238
2017-04-01,156
2017-04-02,181
2017-04-03,236
2017-04-04,264
2017-04-05,301
2017-04-06,266
2017-04-07,198
2017-04-08,150
2017-04-09,156
2017-04-10,262
2017-04-11,260
2017-04-12,259
2017-04-13,225
2017-04-14,172
2017-04-15,133
2017-04-16,134
2017-04-17,229
2017-04-18,264
2017-04-19,258
2017-04-20,263
2017-04-21,224
2017-04-22,143
2017-04-23,124
2017-04-24,261
2017-04-25,247
2017-04-26,275
2017-04-27,284
2017-04-28,225
2017-04-29,114
2017-04-30,148
2017-05-01,198
2017-05-02,251
2017-05-03,255
2017-05-04,240
2017-05-05,209
2017-05-06,155
2017-05-07,171
2017-05-08,287
2017-05-09,277
2017-05-10,254
2017-05-11,219
2017-05-12,242
2017-05-13,143
2017-05-14,155
2017-05-15,286
2017-05-16,263
2017-05-17,251
2017-05-18,258
2017-05-19,266
2017-05-20,133
2017-05-21,269
2017-05-22,322
2017-05-23,284
2017-05-24,319
2017-05-25,241
2017-05-26,210
2017-05-27,129
2017-05-28,129
2017-05-29,198
2017-05-30,270
2017-05-31,245
2017-06-01,230
2017-06-02,211
2017-06-03,157
2017-06-04,158
2017-06-05,231
2017-06-06,250
2017-06-07,288
2017-06-08,283
2017-06-09,242
2017-06-10,121
2017-06-11,130
2017-06-12,286
2017-06-13,305
2017-06-14,321
2017-06-15,285
2017-06-16,242
2017-06-17,141
2017-06-18,155
2017-06-19,278
2017-06-20,284
2017-06-21,276
2017-06-22,278
2017-06-23,249
2017-06-24,117
2017-06-25,126
